0xf9cc437514d852d33ee434c7dee2296e36c78cf5b8a6ce8f98e9620a97f304db	Crypto_Price     	Crypto_Price_XRP                 	0.7274	Will the price of XRP be between $3.12 and $3.15 on September 18 at 8PM ET?
0x2b5e5a3d8c979c2287e5c6d03f80325832ecd3bacf34e61687e49cc5c7c0c65d	Sports_Football  	Sports_Football_College          	0.6299	Jacksonville State vs. Georgia Southern
0x09e4fee6598b8b175ed61d3e46078e5f7e0c1ff4f0d354b787dcbee33d49e9c2	Sports_Soccer    	Sports_Soccer_Other              	0.6259	Carabao Cup: Who will win the Arsenal v. Liverpool game on January 13?
0x6ab8a5994f953129031cf4921c6ac359a848d065740ea1e997f07636d1f4dce8	Crypto_Price     	Crypto_Price_Bitcoin             	0.6746	Will the price of Bitcoin be greater than $112K on July 11 at 5PM ET?
0x5f05c5be984740364247e9866ca2fac8b2f44862782e08738f06bb8500df33a5	Sports_Soccer    	Sports_Soccer_Other              	0.6268	Will Borussia Dortmund vs. 1. FC Köln end in a draw?
0x5695d99b5aece769d991f94cf943c5b6747f305698cdc18af2cd6b03b9541e5f	Sports_Individual	Sports_Esports                   	0.5585	Dodgers vs. Angels
0x363749c3abe633aac04ae06e214e61be717a1c2aefbfd0dc5ce6f4788edb105d	Crypto_Price     	Crypto_Price_Bitcoin             	0.6848	Bitcoin Up or Down - October 24, 7AM ET
0x27e1191656c779ae654caf601d31f0c4f13b1a53c6609f959a28ef74d0c5a23e	Crypto_Price     	Crypto_Price_Bitcoin             	0.6822	Bitcoin Up or Down - October 31, 3:45AM-4:00AM ET
0xd4defd4541d5a360ec6e821fd1836bdf01e3a106bbbdcb7de4a9c76fd2437eeb	Crypto_Price     	Crypto_Price_Bitcoin             	0.6901	Bitcoin Up or Down - September 4, 12PM ET
0x21f06704270c4e4e54cacc31e62ca2236a9b7e8cdd2ecd0fa404bc9f9c778e8b	Sports_Individual	Sports_Esports                   	0.5339	Will Ugo Humbert win the 2025 Swiss Indoors Basel Men’s Singles Tournament?
0xe688bbf9bfc55635180a88d6b22bea48fd9356da370a0b6de0d9aae83c69f20b	Crypto_Price     	Crypto_Price_Ethereum            	0.7177	Will the price of Ethereum be between $4,000 and $4,100 on October 5?
0xa47d5522a14e98422b06053bc153cbb731321e286c12a5a8f75036f6c302e167	Economy_Finance  	Economy_Fed_Central_Bank         	0.5905	Will the August 2025 unemployment rate be 4.1%?
0x0c84aaac5df975ab07124eebe07ee1d7eadf2c903efe1c22c115be7697493164	Crypto_Price     	Crypto_Price_Solana              	0.5755	Will Trump's approval rating be between 46.0% and 46.4% on June 13?
0x0bb9b3707fa2efb7d1866ff36b9932de2567632e7735ffd170a6a2965bc1f8e4	Economy_Finance  	Economy_Fed_Central_Bank         	0.5272	Kash Patel out by August 31?
0x247f91f885dc551f0c9c46247db5875c72133f284b7978434226a867c4f6ba0a	Crypto_Price     	Crypto_Price_Bitcoin             	0.6895	Bitcoin Up or Down - September 19, 10:15PM-10:30PM ET
0x54d2d63d7b12da13180410e7a648b563f38663f9191e36cfe513d3819f14faad	Crypto_Price     	Crypto_Price_Bitcoin             	0.6892	Bitcoin Up or Down - September 29, 4:15PM-4:30PM ET
0x5a3c36743450493018c54cb7939d7a9f9588864f0eec26ceea33cbdd6ab75351	Sports_Soccer    	Sports_Soccer_Premier_League     	0.6147	Will Hull City AFC vs. Charlton Athletic FC end in a draw?
0xc50f64cd831a585628b4b3a8fc02013e4201cc706135748348564c9d8549284b	Sports_Basketball	Sports_Basketball_College        	0.6224	Colgate vs. Holy Cross
0xeb005a466ab396190a47e815c0855820d554716e0873cff67a30a690f4174ba1	Politics_World   	Politics_World_War_Conflict      	0.5603	Will Israel strike Yemen on October 1 ET?
0x0a7afeeeba537d8558566f1b42f962d1f10b6416f438c99a1385b7de37350c55	Sports_Football  	Sports_Football_College          	0.5984	Georgia Tech vs. Duke: O/U 60.5
0xdafcaa79ff54314d7e83ae748f9033b8e1aec1d3ed2da48a613ab99b75082b61	Sports_Individual	Sports_Tennis                    	0.5605	ATP World Tour Finals, Bjorn Borg Group: Alexander Zverev vs Felix Auger-Aliassime
0x4d06d6ea0eccb6cb6ee456f1b08d9e3dfde22668f6d7def09ad292c76ef5bc7f	Crypto_Price     	Crypto_Price_XRP                 	0.7152	XRP Up or Down - November 3, 4:15AM-4:30AM ET
0xfdeee7d1960619fd06cad16065cb7ed05694bbe94bcf63fb7cbfb9bcb3145832	Crypto_Price     	Crypto_Price_Ethereum            	0.7273	Ethereum Up or Down - November 11, 12:30AM-12:45AM ET
0xd4b28fd72fc748a3712a462db4263d8f4bb093acbd7576487c3a7c947426d4f7	Crypto_Price     	Crypto_Price_Solana              	0.5265	Elon Musk's security clearance revoked before July?
0xa392c7199fe1af217c29071c589898904c16dbd17cb0de6cd367f0a94094ffd9	Crypto_Price     	Crypto_Price_Solana              	0.7164	Solana Up or Down - November 14, 4:00AM-8:00AM ET
0x5580b8e21713f76195e2a015b4129cc5b93ad9259b9bc2eddfc90e12115b2ca1	Sports_Individual	Sports_Esports                   	0.5554	NBA: Who will win the Nuggets vs. Nets, scheduled for February 6 (3.30 PM ET)?
0xaf2ff3e0a7e3ae0783477f7d0a4538e23138608c5b15f51d4381cbca864c9688	Sports_Individual	Sports_Esports                   	0.5960	Dota 2: Osos vs Monstters
0xe60b3cd4cf8ceac30fa096a4f41f3994bd5551a4b6385f71343212bd2282af29	Entertainment    	Entertainment_Awards_Stage       	0.4842	Will Stellan Skarsgard (Sentimental Value) win Best Supporting Actor – Motion Picture at the 83rd Golden Globes?
0x6bfc0bc891c69a2bdb32cbd9712df1a3401b63e30f3d689013606248b88308bf	Sports_Football  	Sports_Football_NFL              	0.6475	Packers vs. Ravens
0x028450fcfc01f6f3059a4aa294d1d54e681af44b7b9ce9e5070408ffb2aeba99	Crypto_Price     	Crypto_Price_XRP                 	0.7083	Will the price of XRP be above $2.76 on September 22 at 8AM ET?
0x3ddca2a1bae38bdcf1a02bec0db532f8725a45a08a4fbeb1329b4080d64ee98e	Sports_Soccer    	Sports_Soccer_Other              	0.6194	Will FC Loon-Plage vs. Stade Béthunois FC end in a draw?
0xa4c8d731c361d357cba5637d04779bc94ce02d7e7ac02ec60753d3074726a6a8	Crypto_Price     	Crypto_Price_Solana              	0.7162	Solana Up or Down - October 21, 4PM ET
0x845583aeb9ba992aa97e5430bd05d314a8b96592a0cc48c59b5adcf6bb4bd1bb	Economy_Finance  	Economy_Fed_Central_Bank         	0.5555	Will Powell say "Payroll" during Jackson Hole speech on August 22?
0x6bda868c9729fcc7fb60944e14d0031ca32d9236b2f845352d3e23fec727cc13	Sports_Basketball	Sports_Basketball_College        	0.5988	Drexel Dragons vs. Saint Joseph's Hawks: O/U 139.5
0x3c39238512bf3cb6c8c23eb65418d12ebce77b1a23007661ae2b8ae1428f13e7	Sports_Individual	Sports_Golf                      	0.5361	Will Kevin Velo be the first round leader at the 2025 Wyndham Championship?
0x5395d8c3aa790216a23748cd5ad6e9cc4573879061bbb06deb96e3662b3ee323	Sports_Individual	Sports_Esports                   	0.5523	Will Heracles Almelo win on 2025-11-02?
0x82eaa81747475bcb94577563638f0ddd47c78a7ee09e2034e70c35b3321a7b1e	Crypto_Price     	Crypto_Price_Ethereum            	0.7131	Ethereum Up or Down - August 26, 1PM ET
0x27c5a06d6ae3a6a0f51e2f1118fbfac8a7d2afcd804c123fd6266315482a0487	Sports_Individual	Sports_Esports                   	0.5291	Will Nodirbek Abdusattorov win the World Rapid Championship?
0x2422243476a1778071bf95d10c4da36b9af814b2f26d258fb67886bfcb80c649	Crypto_Price     	Crypto_Price_Bitcoin             	0.6849	Bitcoin Up or Down - October 23, 3PM ET
0x940ddec516828962ad429036350eef6c3b3526dc88bdc8c258f85163fc10dbab	Crypto_Price     	Crypto_Price_XRP                 	0.7220	XRP Up or Down - November 5, 7:00PM-7:15PM ET
